id,Project structure (showcase),Title,documents,SCMP letter,Legco report,Social media posts (links),Image files (poster),Team membership
1,Tech Solutions,Exploring the Effects of Climate Change,"[{""public"":""document4"",""government_reply"":""doc004"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters,Bill 123,https://twitter.com/tweet?lang=en,Dui.jpeg,Member 3
2,Innovation Lab,Exploring the Effects of Climate Change,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,IpsumAcTellus.mp3,Member 3
3,Tech Solutions,The Future of Artificial Intelligence,"[{""public"":""document3"",""government_reply"":""doc002"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/elonmusk,Ipsum.mp3,Member 3
4,Tech Solutions,Analyzing the Role of Social Media in Society,"[{""public"":""document5"",""government_reply"":""doc001"",""internal_notes"":""Note 1""},{""public"":""document5"",""government_reply"":""doc004"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/elonmusk,OdioElementumEu.tiff,Member 3
5,Creative Ventures,The Impact of Technology on Education,"[{""public"":""document3"",""government_reply"":""doc005"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters,Bill 123,https://twitter.com/elonmusk,Mi.txt,Member 1
6,Future Initiatives,The Impact of Technology on Education,"[{""public"":""document5"",""government_reply"":""doc002"",""internal_notes"":""Note 5""},{""public"":""document2"",""government_reply"":""doc001"",""internal_notes"":""Note 3""},{""public"":""document2"",""government_reply"":""doc004"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,VitaeMattis.jpeg,Member 3
7,Project X,Exploring the Effects of Climate Change,"[{""public"":""document3"",""government_reply"":""doc001"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/elonmusk,SemperEstQuam.txt,Member 1
8,Project X,The Impact of Technology on Education,"[{""public"":""document2"",""government_reply"":""doc001"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/elonmusk,FacilisiCrasNon.mov,Member 1
9,Project X,Exploring the Effects of Climate Change,"[{""public"":""document4"",""government_reply"":""doc005"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/elonmusk,LectusIn.jpeg,Member 1
10,Creative Ventures,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document4"",""government_reply"":""doc003"",""internal_notes"":""Note 4""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/elonmusk,Suspendisse.avi,Member 1
11,Future Initiatives,Examining the Benefits of Renewable Energy Sources,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,InLacus.png,Member 3
12,Creative Ventures,The Impact of Technology on Education,"[{""public"":""document5"",""government_reply"":""doc004"",""internal_notes"":""Note 4""},{""public"":""document4"",""government_reply"":""doc002"",""internal_notes"":""Note 3""},{""public"":""document2"",""government_reply"":""doc005"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/tweet?lang=en,Iaculis.tiff,Member 3
13,Tech Solutions,The Future of Artificial Intelligence,"[{""public"":""document1"",""government_reply"":""doc004"",""internal_notes"":""Note 3""},{""public"":""document3"",""government_reply"":""doc005"",""internal_notes"":""Note 1""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/elonmusk,IntegerNon.mp3,Member 1
14,Tech Solutions,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document2"",""government_reply"":""doc003"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/tweet?lang=en,SitAmetSem.xls,Member 2
15,Creative Ventures,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document1"",""government_reply"":""doc005"",""internal_notes"":""Note 3""},{""public"":""document5"",""government_reply"":""doc002"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/tweet?lang=en,PlateaDictumst.txt,Member 1
16,Future Initiatives,Exploring the Effects of Climate Change,"[{""public"":""document2"",""government_reply"":""doc005"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/tweet?lang=en,Tempus.gif,Member 1
17,Creative Ventures,The Impact of Technology on Education,"[{""public"":""document1"",""government_reply"":""doc002"",""internal_notes"":""Note 4""},{""public"":""document3"",""government_reply"":""doc001"",""internal_notes"":""Note 3""},{""public"":""document4"",""government_reply"":""doc001"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,Tellus.xls,Member 2
18,Project X,Exploring the Effects of Climate Change,"[{""public"":""document4"",""government_reply"":""doc001"",""internal_notes"":""Note 1""},{""public"":""document4"",""government_reply"":""doc004"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/tweet?lang=en,DisParturient.mp3,Member 1
19,Future Initiatives,Analyzing the Role of Social Media in Society,"[{""public"":""document1"",""government_reply"":""doc001"",""internal_notes"":""Note 2""},{""public"":""document1"",""government_reply"":""doc001"",""internal_notes"":""Note 2""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/tweet?lang=en,JustoMaecenasRhoncus.mpeg,Member 3
20,Future Initiatives,Exploring the Effects of Climate Change,"[{""public"":""document2"",""government_reply"":""doc001"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,Fermentum.tiff,Member 3
21,Future Initiatives,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document4"",""government_reply"":""doc004"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/tweet?lang=en,PedeMalesuada.mpeg,Member 1
22,Tech Solutions,Exploring the Effects of Climate Change,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/tweet?lang=en,QuisJustoMaecenas.txt,Member 3
23,Future Initiatives,Analyzing the Role of Social Media in Society,"[{""public"":""document5"",""government_reply"":""doc002"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/tweet?lang=en,QuamSapienVarius.mp3,Member 1
24,Tech Solutions,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document1"",""government_reply"":""doc001"",""internal_notes"":""Note 3""},{""public"":""document5"",""government_reply"":""doc004"",""internal_notes"":""Note 2""},{""public"":""document3"",""government_reply"":""doc004"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/tweet?lang=en,NuncViverra.doc,Member 2
25,Future Initiatives,Analyzing the Role of Social Media in Society,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/elonmusk,PedeMorbiPorttitor.xls,Member 1
26,Innovation Lab,Examining the Benefits of Renewable Energy Sources,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/tweet?lang=en,Libero.mp3,Member 2
27,Tech Solutions,Analyzing the Role of Social Media in Society,"[{""public"":""document2"",""government_reply"":""doc002"",""internal_notes"":""Note 2""},{""public"":""document1"",""government_reply"":""doc005"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/elonmusk,QuisOrciEget.txt,Member 3
28,Creative Ventures,The Impact of Technology on Education,"[{""public"":""document5"",""government_reply"":""doc003"",""internal_notes"":""Note 2""},{""public"":""document2"",""government_reply"":""doc001"",""internal_notes"":""Note 2""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Bill 123,https://twitter.com/tweet?lang=en,Nulla.mp3,Member 3
29,Creative Ventures,Exploring the Effects of Climate Change,"[{""public"":""document1"",""government_reply"":""doc004"",""internal_notes"":""Note 5""},{""public"":""document2"",""government_reply"":""doc002"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters,Bill 123,https://twitter.com/tweet?lang=en,InLacus.tiff,Member 3
30,Creative Ventures,The Impact of Technology on Education,"[{""public"":""document1"",""government_reply"":""doc005"",""internal_notes"":""Note 4""},{""public"":""document5"",""government_reply"":""doc003"",""internal_notes"":""Note 1""},{""public"":""document5"",""government_reply"":""doc003"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,QuisLectus.mp3,Member 3
31,Future Initiatives,Exploring the Effects of Climate Change,"[{""public"":""document5"",""government_reply"":""doc001"",""internal_notes"":""Note 1""},{""public"":""document2"",""government_reply"":""doc001"",""internal_notes"":""Note 2""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/elonmusk,DiamVitaeQuam.ppt,Member 1
32,Innovation Lab,The Impact of Technology on Education,"[{""public"":""document3"",""government_reply"":""doc002"",""internal_notes"":""Note 5""},{""public"":""document2"",""government_reply"":""doc003"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/tweet?lang=en,Erat.avi,Member 2
33,Future Initiatives,Analyzing the Role of Social Media in Society,"[{""public"":""document4"",""government_reply"":""doc001"",""internal_notes"":""Note 4""},{""public"":""document1"",""government_reply"":""doc005"",""internal_notes"":""Note 3""},{""public"":""document1"",""government_reply"":""doc005"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/tweet?lang=en,ConsequatUt.tiff,Member 3
34,Project X,Examining the Benefits of Renewable Energy Sources,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/tweet?lang=en,ErosElementumPellentesque.tiff,Member 3
35,Future Initiatives,The Future of Artificial Intelligence,"[{""public"":""document3"",""government_reply"":""doc003"",""internal_notes"":""Note 1""},{""public"":""document3"",""government_reply"":""doc003"",""internal_notes"":""Note 2""},{""public"":""document3"",""government_reply"":""doc005"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/tweet?lang=en,LectusSuspendissePotenti.xls,Member 2
36,Future Initiatives,The Impact of Technology on Education,"[{""public"":""document1"",""government_reply"":""doc003"",""internal_notes"":""Note 1""},{""public"":""document4"",""government_reply"":""doc002"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/tweet?lang=en,TempusSemperEst.avi,Member 3
37,Tech Solutions,Exploring the Effects of Climate Change,[],https://www.scmp.com/comment/letters,Act 456,https://twitter.com/tweet?lang=en,MagnisDis.gif,Member 3
38,Creative Ventures,Analyzing the Role of Social Media in Society,"[{""public"":""document3"",""government_reply"":""doc002"",""internal_notes"":""Note 1""},{""public"":""document4"",""government_reply"":""doc002"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/elonmusk,Eu.ppt,Member 3
39,Future Initiatives,The Impact of Technology on Education,"[{""public"":""document5"",""government_reply"":""doc001"",""internal_notes"":""Note 2""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/tweet?lang=en,Faucibus.doc,Member 1
40,Future Initiatives,The Impact of Technology on Education,[],https://www.scmp.com/comment/letters,Act 456,https://twitter.com/tweet?lang=en,Vitae.pdf,Member 2
41,Innovation Lab,Analyzing the Role of Social Media in Society,[],https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/tweet?lang=en,Et.avi,Member 2
42,Innovation Lab,Exploring the Effects of Climate Change,"[{""public"":""document3"",""government_reply"":""doc001"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/elonmusk,BibendumFelis.ppt,Member 2
43,Project X,Analyzing the Role of Social Media in Society,"[{""public"":""document3"",""government_reply"":""doc004"",""internal_notes"":""Note 2""},{""public"":""document5"",""government_reply"":""doc002"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters,Bill 123,https://twitter.com/tweet?lang=en,PlateaDictumstMorbi.mp3,Member 2
44,Project X,The Future of Artificial Intelligence,"[{""public"":""document2"",""government_reply"":""doc005"",""internal_notes"":""Note 5""},{""public"":""document4"",""government_reply"":""doc003"",""internal_notes"":""Note 5""},{""public"":""document4"",""government_reply"":""doc005"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/tweet?lang=en,AtVelitVivamus.mp3,Member 1
45,Innovation Lab,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document3"",""government_reply"":""doc001"",""internal_notes"":""Note 4""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 1""},{""public"":""document4"",""government_reply"":""doc005"",""internal_notes"":""Note 4""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/elonmusk,PedeUllamcorper.xls,Member 1
46,Future Initiatives,Analyzing the Role of Social Media in Society,"[{""public"":""document5"",""government_reply"":""doc004"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,Orci.doc,Member 2
47,Project X,The Future of Artificial Intelligence,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/tweet?lang=en,LoremVitaeMattis.ppt,Member 3
48,Innovation Lab,Analyzing the Role of Social Media in Society,"[{""public"":""document1"",""government_reply"":""doc002"",""internal_notes"":""Note 3""},{""public"":""document2"",""government_reply"":""doc005"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,NonVelitNec.doc,Member 1
49,Project X,The Future of Artificial Intelligence,"[{""public"":""document4"",""government_reply"":""doc002"",""internal_notes"":""Note 4""},{""public"":""document2"",""government_reply"":""doc002"",""internal_notes"":""Note 2""},{""public"":""document4"",""government_reply"":""doc002"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/tweet?lang=en,OdioCondimentumId.xls,Member 2
50,Project X,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document1"",""government_reply"":""doc002"",""internal_notes"":""Note 4""},{""public"":""document4"",""government_reply"":""doc004"",""internal_notes"":""Note 4""},{""public"":""document3"",""government_reply"":""doc002"",""internal_notes"":""Note 5""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/tweet?lang=en,TortorSollicitudinMi.ppt,Member 1
